GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600090961800,36,9,961800,76,321,397,0.19143577
G3600090962200,36,9,962200,91,208,299,0.30434781
G3600110040100,36,11,40100,108,407,515,0.20970874
G3600110040200,36,11,40200,24,432,456,0.052631579
G3600110040300,36,11,40300,68,319,387,0.17571059
G3600110040400,36,11,40400,82,420,502,0.16334662
G3600110040500,36,11,40500,46,249,295,0.1559322
G3600110040600,36,11,40600,8,330,338,0.023668639
G3600110040700,36,11,40700,16,386,402,0.039800994
G3600110040800,36,11,40800,34,360,394,0.086294413
G3600110040900,36,11,40900,89,285,374,0.23796791
G3600110041000,36,11,41000,95,324,419,0.22673032
G3600110041100,36,11,41100,15,347,362,0.041436464
G3600110041200,36,11,41200,60,452,512,0.1171875
G3600110041300,36,11,41300,156,290,446,0.34977579
G3600110041400,36,11,41400,33,233,266,0.12406015
G3600110041500,36,11,41500,64,245,309,0.20711975
G3600110041600,36,11,41600,11,217,228,0.048245613
G3600110041700,36,11,41700,96,267,363,0.2644628
G3600110041800,36,11,41800,39,386,425,0.091764703
G3600110042100,36,11,42100,154,175,329,0.46808511
G3600110990200,36,11,990200,0,0,0,-99
G3600130030100,36,13,30100,220,179,399,0.55137843
G3600130030200,36,13,30200,81,277,358,0.22625698
